T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,DATE,YEAR,MONTH,HEAVY_RAIN,HEATWAVE,EXTREME_RAIN,TEMP_ANOMALY,TEMP_MA30,TEMP_RANGE,TEMP_MA7,RAIN_MA7
14.56,21.99,8.04,63.3,2.88,0.0,2013-01-06,2013,1,False,0,0,-11.288685939553217,16.177666666666667,13.95,16.487142857142857,0.5014285714285714
14.93,21.23,10.06,65.43,3.33,0.0,2013-01-07,2013,1,False,0,0,-10.918685939553217,16.130333333333333,11.17,16.52285714285714,0.5014285714285714
12.74,20.73,7.41,53.53,4.02,0.0,2013-01-08,2013,1,False,0,0,-13.108685939553217,15.978666666666667,13.32,15.997142857142858,0.5014285714285714
10.9,20.0,3.43,55.78,3.39,0.0,2013-01-09,2013,1,False,0,0,-14.948685939553217,15.700999999999999,16.57,14.911428571428571,0.5014285714285714
12.73,21.72,4.52,59.33,2.72,0.0,2013-01-10,2013,1,False,0,0,-13.118685939553217,15.412,17.2,13.992857142857144,0.0
13.36,22.06,6.24,67.27,2.86,0.0,2013-01-11,2013,1,False,0,0,-12.488685939553218,15.151666666666667,15.819999999999999,13.498571428571427,0.0
12.92,21.13,5.75,65.69,2.89,0.0,2013-01-12,2013,1,False,0,0,-12.928685939553217,14.921,15.379999999999999,13.162857142857144,0.0
14.08,22.33,6.4,65.06,2.41,0.0,2013-01-13,2013,1,False,0,0,-11.768685939553217,14.734,15.929999999999998,13.094285714285714,0.0
17.22,25.57,9.25,59.84,2.0,0.0,2013-01-14,2013,1,False,0,0,-8.628685939553218,14.684333333333333,16.32,13.421428571428573,0.0
17.33,25.43,9.94,65.62,2.62,0.0,2013-01-15,2013,1,False,0,0,-8.518685939553219,14.663999999999998,15.49,14.077142857142857,0.0
17.54,25.74,9.69,62.21,2.04,0.0,2013-01-16,2013,1,False,0,0,-8.308685939553218,14.645666666666667,16.049999999999997,15.025714285714287,0.0
19.62,27.72,12.19,59.77,1.93,0.0,2013-01-17,2013,1,False,0,0,-6.228685939553216,14.721,15.53,16.009999999999998,0.0
20.54,28.96,12.88,60.08,1.66,0.0,2013-01-18,2013,1,False,0,0,-5.308685939553218,14.861333333333334,16.08,17.035714285714285,0.0
20.47,28.84,13.14,69.68,2.03,0.0,2013-01-19,2013,1,False,0,0,-5.378685939553218,14.998333333333333,15.7,18.114285714285714,0.0
19.42,26.71,13.27,73.74,3.7,0.0,2013-01-20,2013,1,False,0,0,-6.428685939553215,15.151666666666667,13.440000000000001,18.877142857142854,0.0
17.43,25.0,11.28,58.73,3.7,0.0,2013-01-21,2013,1,False,0,0,-8.418685939553217,15.296333333333333,13.72,18.907142857142855,0.0
16.3,25.15,9.19,53.58,4.36,0.0,2013-01-22,2013,1,False,0,0,-9.548685939553216,15.430333333333333,15.959999999999999,18.759999999999998,0.0
14.79,25.37,6.91,48.82,4.07,0.0,2013-01-23,2013,1,False,0,0,-11.058685939553218,15.484333333333332,18.46,18.367142857142856,0.0
14.57,25.57,5.44,49.48,4.07,0.0,2013-01-24,2013,1,False,0,0,-11.278685939553217,15.524666666666665,20.13,17.645714285714288,0.0
14.48,24.55,6.3,50.05,4.11,0.0,2013-01-25,2013,1,False,0,0,-11.368685939553217,15.593666666666667,18.25,16.779999999999998,0.0
14.4,24.41,6.87,46.5,4.24,0.0,2013-01-26,2013,1,False,0,0,-11.448685939553217,15.677999999999999,17.54,15.912857142857144,0.0
14.37,24.38,6.11,53.86,3.82,0.0,2013-01-27,2013,1,False,0,0,-11.478685939553218,15.734999999999998,18.27,15.191428571428572,0.0
14.68,22.97,9.24,52.9,3.62,0.0,2013-01-28,2013,1,False,0,0,-11.168685939553217,15.777999999999999,13.729999999999999,14.79857142857143,0.0
15.14,25.65,6.31,51.41,3.28,0.0,2013-01-29,2013,1,False,0,0,-10.708685939553217,15.845666666666666,19.34,14.632857142857143,0.0
15.56,25.69,7.07,50.91,3.03,0.0,2013-01-30,2013,1,False,0,0,-10.288685939553217,15.874999999999998,18.62,14.742857142857144,0.0
16.86,26.89,8.58,50.67,3.1,0.0,2013-01-31,2013,1,False,0,0,-8.988685939553218,15.889666666666667,18.310000000000002,15.069999999999999,0.0
15.11,20.55,11.4,56.87,2.61,0.0,2013-02-01,2013,2,False,0,0,-10.738685939553218,15.776666666666667,9.15,15.16,0.0
17.05,26.0,9.35,52.22,2.77,0.0,2013-02-02,2013,2,False,0,0,-8.798685939553216,15.706333333333333,16.65,15.538571428571428,0.0
19.14,27.91,11.07,49.95,2.79,0.0,2013-02-03,2013,2,False,0,0,-6.708685939553217,15.783666666666667,16.84,16.220000000000002,0.0
20.1,29.45,11.21,49.43,2.41,0.0,2013-02-04,2013,2,False,0,0,-5.748685939553216,15.944666666666668,18.24,16.994285714285716,0.0
21.01,30.57,12.75,49.88,2.59,0.0,2013-02-05,2013,2,False,0,0,-4.838685939553216,16.159666666666666,17.82,17.832857142857144,0.0
22.17,32.25,13.58,48.45,2.86,0.0,2013-02-06,2013,2,False,0,0,-3.6786859395532154,16.401,18.67,18.777142857142856,0.0
23.29,32.19,15.53,57.24,3.27,0.0,2013-02-07,2013,2,False,0,0,-2.558685939553218,16.752666666666666,16.659999999999997,19.695714285714285,0.0
22.7,29.96,17.72,58.85,4.41,0.26,2013-02-08,2013,2,False,0,0,-3.148685939553218,17.146,12.240000000000002,20.78,0.037142857142857144
19.96,28.48,13.97,44.41,4.18,0.02,2013-02-09,2013,2,False,0,0,-5.888685939553216,17.387,14.51,21.195714285714285,0.04
18.14,28.79,9.33,38.35,4.21,0.0,2013-02-10,2013,2,False,0,0,-7.708685939553217,17.546333333333333,19.46,21.052857142857142,0.04
19.22,29.87,9.56,41.41,3.73,0.0,2013-02-11,2013,2,False,0,0,-6.628685939553218,17.756333333333334,20.310000000000002,20.927142857142858,0.04
19.64,29.22,11.75,44.2,3.76,0.0,2013-02-12,2013,2,False,0,0,-6.208685939553217,17.941666666666666,17.47,20.731428571428573,0.04
21.55,31.49,14.12,44.87,4.08,0.0,2013-02-13,2013,2,False,0,0,-4.298685939553216,18.086,17.369999999999997,20.642857142857142,0.04
22.39,31.98,13.91,47.28,3.57,0.0,2013-02-14,2013,2,False,0,0,-3.4586859395532166,18.254666666666665,18.07,20.514285714285712,0.04
23.47,32.99,14.5,45.24,2.46,0.0,2013-02-15,2013,2,False,0,0,-2.3786859395532183,18.452333333333332,18.490000000000002,20.624285714285715,0.002857142857142857
23.94,33.18,15.48,46.18,2.44,0.06,2013-02-16,2013,2,False,0,0,-1.9086859395532159,18.596333333333334,17.7,21.192857142857143,0.008571428571428572
22.48,29.29,18.1,58.78,3.5,2.85,2013-02-17,2013,2,False,0,0,-3.3686859395532167,18.661,11.189999999999998,21.812857142857144,0.41571428571428576
20.84,27.64,15.93,66.78,3.0,7.16,2013-02-18,2013,2,False,0,0,-5.008685939553217,18.673333333333332,11.71,22.044285714285714,1.4385714285714286
19.59,27.85,12.14,55.9,3.4,0.0,2013-02-19,2013,2,False,0,0,-6.258685939553217,18.679,15.71,22.037142857142857,1.4385714285714286
20.39,29.25,12.5,53.09,3.93,0.0,2013-02-20,2013,2,False,0,0,-5.458685939553217,18.77766666666667,16.75,21.87142857142857,1.4385714285714286
20.53,29.71,12.76,49.24,3.95,0.0,2013-02-21,2013,2,False,0,0,-5.318685939553216,18.918666666666663,16.950000000000003,21.60571428571429,1.4385714285714286
21.48,31.82,12.94,43.51,3.89,0.0,2013-02-22,2013,2,False,0,0,-4.368685939553217,19.141666666666666,18.880000000000003,21.321428571428573,1.4385714285714286
22.65,33.82,13.09,42.7,3.94,0.0,2013-02-23,2013,2,False,0,0,-3.1986859395532186,19.410999999999998,20.73,21.13714285714286,1.43
